nose_x,l_shouldr_x,r_shoulder_x,l_elbow_x,r_elbow_x,l_wrist_x,r_wrist_x,l_hip_x,r_hip_x,l_knee_x,r_knee_x,l_ankle_x,r_ankle_x,nose_y,l_shouldr_y,r_shoulder_y,l_elbow_y,r_elbow_y,l_wrist_y,r_wrist_y,l_hip_y,r_hip_y,l_knee_y,r_knee_y,l_ankle_y,r_ankle_y,nose_z,l_shouldr_z,r_shoulder_z,l_elbow_z,r_elbow_z,l_wrist_z,r_wrist_z,l_hip_z,r_hip_z,l_knee_z,r_knee_z,l_ankle_z,r_ankle_z,Output
0.466836989,0.536425471,0.421737492,0.552586377,0.400636822,0.554411948,0.395507991,0.511357903,0.443766415,0.519800663,0.432324976,0.522950768,0.429137707,0.123645581,0.214708328,0.220918164,0.325385064,0.336169243,0.429664731,0.427859873,0.442527592,0.442664802,0.584322393,0.582050383,0.718218565,0.716015816,-0.395267546,-0.195654869,-0.163305312,-0.155798286,-0.127180368,-0.253910035,-0.229280859,-0.00820767,0.008048343,0.075822279,0.088045202,0.28819102,0.313930452,2
0.466981173,0.534423232,0.419800907,0.552579224,0.398616493,0.550638914,0.395376265,0.51000458,0.442397594,0.518164456,0.432819843,0.522909701,0.429220587,0.117250524,0.212526366,0.220321968,0.322895378,0.334899753,0.423600405,0.426146656,0.438254744,0.438569725,0.582597077,0.580689132,0.716399252,0.712895751,-0.345844299,-0.142095372,-0.13749449,-0.119520642,-0.134703189,-0.2186542,-0.265969336,-0.006716055,0.006530192,0.065338001,0.060155779,0.251547188,0.270694315,2
0.44387275,0.510528922,0.39275986,0.538784623,0.373896241,0.515839875,0.406628519,0.494533837,0.429210663,0.511657953,0.425590426,0.506402135,0.428394645,0.119817391,0.207572415,0.214035839,0.317768276,0.314379603,0.401215464,0.365943998,0.431854278,0.433257312,0.575970352,0.574583352,0.708241224,0.71085614,-0.440586865,-0.199432984,-0.186555609,-0.177703768,-0.233621523,-0.306831658,-0.44258517,-0.004903356,0.004764312,0.022069298,0.015744209,0.255176365,0.251044512,2
0.464225858,0.529767096,0.413535655,0.5512923,0.381715655,0.495894909,0.386194438,0.497234821,0.429964721,0.494289339,0.413116753,0.483225733,0.427732229,0.134923562,0.225420088,0.222753122,0.335907549,0.302617848,0.310798317,0.377242506,0.447571218,0.441539735,0.592000663,0.556538045,0.699017465,0.684668303,-0.332175344,-0.14559637,-0.033957936,-0.268978983,0.010997185,-0.524008512,-0.154198542,-0.020188037,0.020177683,-0.029583782,-0.306580335,0.362366378,-0.018393395,2
0.46530968,0.522170603,0.403040707,0.550458789,0.370451242,0.514875591,0.409228981,0.499619335,0.430802643,0.508876383,0.440118849,0.492439836,0.446406692,0.124601141,0.20458363,0.206234694,0.301222414,0.307687968,0.338270545,0.297041923,0.425109982,0.433315575,0.561366796,0.582117438,0.676281035,0.707978427,-0.431765378,-0.152481243,-0.155122146,-0.212389633,-0.268270254,-0.437282801,-0.568175673,-0.0045435,0.004420654,-0.118991815,0.038211673,0.202935129,0.369386941,2
0.470072567,0.536329091,0.419216931,0.557399392,0.388030142,0.501023829,0.385889649,0.500117123,0.432021469,0.494734108,0.424438864,0.494996846,0.432022244,0.101938926,0.197679132,0.190004662,0.307582766,0.268992543,0.273884624,0.355295599,0.421229482,0.409699321,0.57276541,0.537043214,0.704888165,0.690036178,-0.358628958,-0.166348785,-0.033769771,-0.305975974,0.027488876,-0.572903514,-0.116834581,-0.023171166,0.023180161,-0.023714203,-0.247927144,0.313098937,0.024506349,2
0.457590908,0.52205646,0.404970497,0.552571595,0.369248033,0.516038597,0.408942997,0.499245822,0.430918783,0.504212677,0.437031984,0.49596256,0.438958079,0.105012096,0.19208084,0.196189299,0.290428996,0.292821825,0.321088195,0.279392034,0.416938722,0.418061435,0.57166034,0.572106957,0.714217782,0.717019618,-0.328025877,-0.098608948,-0.057059657,-0.186071232,-0.181201637,-0.41422978,-0.463149071,-0.001583403,0.001451273,-0.038740382,-0.039731234,0.284286946,0.24189119,2
0.464662939,0.532763183,0.410924852,0.561458647,0.377069563,0.50303489,0.398796231,0.50286144,0.433945715,0.498848498,0.433419943,0.496647358,0.436500013,0.088600852,0.177566975,0.18075791,0.286644191,0.268918306,0.273040235,0.33681044,0.411968172,0.40546003,0.577286005,0.559104025,0.708866835,0.709086418,-0.388569385,-0.162451923,-0.091734976,-0.273025453,-0.127047911,-0.562303066,-0.372330964,-0.015344253,0.015188977,0.027790675,0.012715039,0.385240108,0.319321722,2
0.464029223,0.529358983,0.410860121,0.559684277,0.37643066,0.514096856,0.404279381,0.502587616,0.434690177,0.501730144,0.438639939,0.50008446,0.440755785,0.091841765,0.185220271,0.188146561,0.288778663,0.287504584,0.327326149,0.287999362,0.41317454,0.412401557,0.577214122,0.566076458,0.707468808,0.715242624,-0.350692004,-0.127694756,-0.078553393,-0.211379364,-0.173162222,-0.439896166,-0.472277492,-0.004912338,0.004618046,-0.047333155,-0.092338063,0.287559599,0.205750316,2
0.463290513,0.527381837,0.411407411,0.557611585,0.38684532,0.518306851,0.404421866,0.50457871,0.438224077,0.507082999,0.437807649,0.509055912,0.443503618,0.185781941,0.272572845,0.27411896,0.369859517,0.376219481,0.431862533,0.386317074,0.498639911,0.504532397,0.637518644,0.652836263,0.722586215,0.79106015,-0.348433286,-0.090274781,-0.10230539,-0.088039875,-0.188831121,-0.247046143,-0.487493813,-0.011866285,0.011923411,-0.034767866,-0.069825485,0.417755455,0.187230349,2
0.481853634,0.54803735,0.43127504,0.571736515,0.408661902,0.516024828,0.410646588,0.515082002,0.448437989,0.511518717,0.439810276,0.50811398,0.454121649,0.244683653,0.32581085,0.326682627,0.433124989,0.41291216,0.422518522,0.47924912,0.546346605,0.536314309,0.697578073,0.665200531,0.832753539,0.750915289,-0.35499537,-0.157970667,-0.021831732,-0.29157418,0.102234706,-0.573270023,-0.006892858,-0.022761287,0.022802476,-0.051979922,-0.289154947,0.235271618,0.133328944,2
